Microarray_ID	Gene_name	Locus	5 min_b1t1	5 min_b1t2	5 min_b2t1	5 min_b2t2	15 min_b1t1	15 min_b1t2	15 min_b2t1	15 min_b2t2	30 min_b1t1	30 min_b2t1	60 min_b1t1	60 min_b1t2	60 min_b2t1	60 min_b2t2	Probe position	Description	Function	AUC
A_07_P010582	yheV	b4551	0.70	0.57	0.92	0.68	0.88	0.68	0.91	0.73	0.87	0.87	1.18	1.11	1.00	0.91	chr:3476727-3476668	predicted protein	predicted protein [b4551]	-10.184
A_07_P010587	hokA	b4455	1.37	0.92	1.42	0.88	2.06	1.19	2.37	1.23	1.62	1.35	1.17	0.58	1.87	0.92	chr:3718531-3718472	"toxic polypeptide, small"	"toxic polypeptide, small [b4455]"	23.160
A_07_P010595	ysaB	b4553	0.23	0.24									0.67	0.54		0.28	chr:3723512-3723453	predicted protein	predicted protein [b4553]	NaN
A_07_P010599	yibT	b4554	0.28	0.20	0.49	0.41	0.36	0.34	0.59	0.60	0.27	0.56	0.58	0.48	0.37	0.29	chr:3774280-3774221	predicted protein	predicted protein [b4554]	-72.025
A_07_P010602	yicS	b4555	1.17	0.68	0.40	0.46	1.22	1.90	0.96	1.01	1.15	1.28	2.06	1.39	1.03	0.76	chr:3838413-3838472	predicted protein	predicted protein [b4555]	10.782
A_07_P010606	glvG	b4556	1.03	1.77	1.34	1.18	0.84	1.76	1.59		1.84		1.14	1.58			chr:3859255-3859196	pseudo	C-terminal fragment of predicted 6-phospho-beta-glucosidase (pseudogene) [b4556]	NaN
A_07_P010615	dgoA	b3692	0.24	0.52	0.01	0.25	0.27	0.46	0.27		0.20	0.01	0.09	0.26	0.20	0.55	chr:3871259-3871200	2-oxo-3-deoxygalactonate 6-phosphate aldolase	2-oxo-3-deoxygalactonate 6-phosphate aldolase and galactonate dehydratase [b3692]	NaN
A_07_P010617	ilvG	b4488	2.07	1.58	1.28	1.20	2.21	2.05	1.82	1.84	3.20	3.26	3.43	2.74	1.65	1.36	chr:3949983-3950042	pseudogene	"pseudogene, acetohydroxy acid synthase II~acetolactate synthase II, large subunit, cryptic, interrupted  [b4488]"	69.750
A_07_P010621	yifL	b4558	1.07	0.59	1.51	0.74	0.77	0.48	0.99	0.66	0.91	0.84	1.65	0.88	2.87	1.38	chr:3992545-3992604	predicted lipoprotein	predicted lipoprotein [b4558]	-2.110
A_07_P010628	thiG	b3991	0.75	0.84	0.67	0.85	0.48	0.62	0.53	0.61	0.85	0.86	1.47	1.59	0.65	0.86	chr:4190641-4190582	thiamin biosynthesis ThiGH complex subunit	"thiamin biosynthesis, thiazole moiety [b3991]"	-15.921
A_07_P010631	thiG	b3991	0.59	0.71	0.59	0.86	0.42	0.65	0.49	0.68	0.82	1.12	1.02	1.39	0.69	0.95	chr:4190719-4190660	thiamin biosynthesis ThiGH complex subunit	"thiamin biosynthesis, thiazole moiety [b3991]"	-15.574
A_07_P010640	pspG	b4050	1.22	1.35	1.58	1.50	1.49	1.41	1.39	1.47	0.73	1.06	0.88	0.94	0.65	0.65	chr:4261036-4261095	phage shock protein G	"orf, hypothetical protein [b4050]"	-0.804
A_07_P010641	yjdP	b4487	0.91	0.69	0.91	0.71	0.63	0.64	0.81	0.65	0.90	0.81	0.85	0.71	1.64	1.19	chr:4311959-4312018	conserved protein	conserved protein [b4487]	-12.875
A_07_P010650	yjdO	b4559	0.62	0.46			0.47				0.94		0.55	0.67	1.27	1.76	chr:4351008-4351067	predicted protein	predicted protein [b4559]	NaN
A_07_P010653	sugE	b4148	1.36	1.41	0.91	0.77	1.33	1.23	1.09	1.04	1.65	1.19	1.33	1.25	1.86	1.82	chr:4374907-4374966	multidrug efflux system protein	"suppresses groEL, may be chaperone [b4148]"	23.590
A_07_P010658	yjfO	b4189	0.04	0.04	0.05	0.05	0.04	0.04	0.05	0.05	0.03	0.04	0.04	0.05	0.03	0.03	chr:4414584-4414525	conserved protein	"orf, hypothetical protein [b4189]"	-259.133
A_07_P010661	yjgX	b4575	1.03	1.66			0.82	1.41			1.58		1.59	1.47			chr:4497764-4497705	pseudogene	"KpLE2 phage-like element; predicted protein, C-ter fragment (pseudogene) [b4575]"	NaN
A_07_P010669	insO	b4623	0.76	0.96	1.13	1.15	1.17	1.58	1.30	1.40	0.55	1.47	0.92	1.21	0.62	0.88	chr:4507730-4507789	pseudogene	KpLE2 phage-like element; predicted transposase fragment (pseudogene) [b4623]	-0.658
A_07_P010675	insB	b0021	1.31	1.28	1.21	1.16	1.05	1.13	1.29	1.33	1.96	1.76	2.73	2.80	1.59	1.46	chr:3581737-3581796	IS1 transposase InsAB'	IS1 protein InsB [b0021]	40.422
A_07_P010678	insB	b4576	0.93	0.77	1.35	1.11	0.89	0.87	1.56	1.33	1.20	1.46	1.27	1.07	1.88	1.36	chr:4517188-4517247	pseudogene	"IS1 transposase B;IS, phage, Tn; Transposon-related functions; extrachromosomal; transposon related [b4576]"	18.137
A_07_P010684	sgcB	b4565		0.01	0.21	0.32	0.01	0.01			0.01	0.01		0.01	0.11		chr:4528425-4528366	predicted enzyme IIB component of PTS	predicted enzyme IIB component of PTS [b4565]	NaN
A_07_P010688	yjhX	b4566	0.25	0.81	0.15	0.41		0.99	0.86	0.78			0.74	0.52		0.10	chr:4531930-4531871	conserved protein	conserved protein [b4566]	NaN
A_07_P010691	yjjZ	b4567	0.97	0.87	1.09	0.77	0.96	0.76	1.16	0.94	0.49	0.59	0.68	0.62	2.12	1.75	chr:4603941-4604000	predicted protein	predicted protein [b4567]	-19.329
A_07_P010696	ytjA	b4568	0.37	0.63	0.47	0.61	0.16	0.24	0.53	0.54	0.24	0.56	0.28	0.55	0.71	0.87	chr:4610243-4610302	predicted protein	predicted protein [b4568]	-70.108
A_07_P010704	thrA	b0002	3.12	2.16	2.76	2.09	1.60	1.37	2.66	2.39	2.70	3.13	3.54	3.02	1.51	1.11	chr:2240-2299	fused aspartokinase I and homoserine dehydrogenase I	"aspartokinase I, homoserine dehydrogenase I [b0002]"	68.751
A_07_P010710	thrB	b0003	2.48	2.95	2.09	2.44	1.34	1.32	2.03	2.60	1.61	3.56	1.64	1.95	1.92	2.28	chr:3647-3706	homoserine kinase	homoserine kinase [b0003]	59.236
A_07_P010711	thrC	b0004	3.00	3.41	2.32	2.77	1.43	1.45	2.10	2.54	1.84	3.48	2.38	3.07	1.51	1.90	chr:4324-4383	threonine synthase	threonine synthase [b0004]	65.003
A_07_P010719	yaaX	b0005	4.92	4.15	2.63	3.13	2.93	2.09	3.62	4.86	3.47	4.95	5.11	3.60	2.46	2.15	chr:5302-5361	predicted protein	"orf, hypothetical protein [b0005]"	101.253
A_07_P010722	yaaA	b0006	1.35	1.15	1.49	1.54	1.48	1.33	1.86	1.79	1.97	1.62	1.43	1.22	1.83	1.57	chr:5820-5761	conserved protein	"orf, hypothetical protein [b0006]"	38.264
A_07_P010729	yaaJ	b0007	0.51	0.47	0.42	0.61	0.47	0.48	0.58	0.65	0.45	0.49	1.00	0.86	0.46	0.40	chr:6852-6793	predicted transporter	inner membrane transport protein [b0007]	-50.710
A_07_P010731	talB	b0008	1.31	1.89	1.36	1.67	1.11	1.64	1.50	1.60	1.80	2.04	1.27	1.44	3.13	3.51	chr:9127-9186	transaldolase B	transaldolase B [b0008]	47.131
A_07_P010739	mog	b0009	1.48	0.83	1.33	0.78	1.14	0.73	1.13	0.72	1.14	0.75	1.31	0.71	2.01	1.14	chr:9309-9368	predicted molybdochelatase	required for the efficient incorporation of molybdate into molybdoproteins [b0009]	0.147
A_07_P010741	yaaH	b0010	2.47	2.72	1.41	1.67	2.94	2.43	2.40	2.23	2.27	1.30	1.12	1.25	0.95	1.07	chr:10326-10267	conserved inner membrane protein associated with acetate transport	"orf, hypothetical protein [b0010]"	40.958
A_07_P010746	yaaW	b0011	1.18	0.94	1.10	0.75	1.11	0.93	1.16	0.80	1.24	1.37	1.18	0.86	1.35	0.93	chr:11047-10988	conserved protein	putative oxidoreductase [b0011]	9.619
A_07_P010755		b0012													1.72		chr:11013-11072	ANNOTATION DISCONTINUED	ANNOTATION DISCONTINUED [b0012]	NaN
A_07_P010756	yaaI	b0013	1.08		0.73			1.13			1.00			1.32			chr:11489-11430	predicted protein	"orf, hypothetical protein [b0013]"	NaN
A_07_P010763	dnaK	b0014	0.71	0.72	0.35	0.38	0.83	0.89	0.35	0.35	0.53	0.45	1.07	1.04	0.77	0.79	chr:13647-13706	"chaperone Hsp70, co-chaperone with DnaJ"	chaperone Hsp70; DNA biosynthesis; autoregulated heat shock proteins [b0014]	-41.263
A_07_P010766	dnaJ	b0015	1.07	1.01	0.48	0.55	0.89	0.94	0.50	0.62	0.97	0.74	1.20	1.09	1.69	1.76	chr:14301-14360	"chaperone Hsp40, co-chaperone with DnaK"	chaperone with DnaK; heat shock protein [b0015]	-6.348
A_07_P010774		b0017	0.59	0.61	0.57	1.13	0.74	0.69	0.72	0.84	0.73	0.97	0.93	1.21	0.77	1.11	chr:2513061-2513002	ANNOTATION DISCONTINUED	ANNOTATION DISCONTINUED [b0017]	-13.765
A_07_P010779	mokC	b0018	0.59	0.44	0.55	0.53	0.62	0.62	0.73	0.70	0.70	0.56	0.52	0.38	0.83	0.63	chr:16949-16890	"regulatory protein for HokC, overlaps CDS of hokC"	Gef protein interferes with membrane function when in excess [b0018]	-39.504
A_07_P010784	nhaA	b0019	0.52	0.88	0.50	0.65	0.36	0.65	0.65	0.79	0.86	0.99	0.45	0.79	0.91	1.22	chr:18495-18554	sodium-proton antiporter	"Na+/H antiporter, pH dependent [b0019]"	-20.626
A_07_P010789	nhaR	b0020	0.80	0.87	1.05	0.92	0.63	0.76	1.17	1.16	1.02	1.13	0.85	0.97	1.19	1.21	chr:19461-19520	DNA-binding transcriptional activator	transcriptional activator of nhaA [b0020]	0.534
A_07_P010803	rpsT	b0023	3.02	1.88	1.67	1.57	1.48	1.48	1.43	1.59	1.85	1.81	6.61	2.26	3.20	2.29	chr:21002-20943	30S ribosomal subunit protein S20	30S ribosomal subunit protein S20 [b0023]	57.086
A_07_P010806	yaaY	b0024	1.31	1.07	1.45	0.92	1.33	1.03	1.30	0.85	1.54	1.60	1.26	1.15	2.90	2.01	chr:21319-21378	predicted protein	"orf, hypothetical protein [b0024]"	29.150
A_07_P010811	ribF	b0025	1.10	1.22	1.09	1.22	1.41	1.36	1.30	1.62	1.13	1.44	1.03	1.10	0.96	1.12	chr:22175-22234	bifunctional riboflavin kinase/FAD synthetase	putative regulator [b0025]	16.281
A_07_P010817	ileS	b0026	1.09	1.49	0.99	1.44	1.61	2.03	1.11	1.49	1.20	1.68	1.22	1.50	0.66	0.96	chr:24387-24446	isoleucyl-tRNA synthetase	isoleucine tRNA synthetase [b0026]	21.218
A_07_P010823	lspA	b0027	0.87	1.53	0.85	1.44	0.56	0.97	0.69	0.94	0.87	1.12	0.64	1.45	1.13	2.02	chr:25462-25521	prolipoprotein signal peptidase (signal peptidase II)	prolipoprotein signal peptidase [b0027]	-0.214
A_07_P010829	fkpB	b0028	1.04	1.90	0.90	1.51	1.06	1.61	1.00	1.42	0.83	1.79	0.70	1.59	1.12	2.08	chr:26082-26141	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)	probable FKBX-type 16KD peptidyl-prolyl cis-trans isomerase [b0028]	17.276
A_07_P010831	ispH	b0029	0.63	0.90	0.37	0.49	0.39	0.54	0.34	0.49	0.46	0.70	0.44	0.65	0.85	1.12	chr:27168-27227	"1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase, 4Fe-4S protein"	control of stringent response; involved in penicillin tolerance [b0029]	-44.617
A_07_P010837	rihC	b0030	0.48	0.48	0.26	0.29	0.21	0.23	0.13	0.15	0.19	0.10	0.13	0.15	0.11	0.12	chr:27873-27932	ribonucleoside hydrolase 3	"orf, hypothetical protein [b0030]"	-147.286
A_07_P010842	dapB	b0031	0.71	0.83	1.00	1.25	1.17	1.19	0.91	1.35	0.99	2.45	4.06	4.73	6.02	7.30	chr:28823-28882	dihydrodipicolinate reductase	dihydrodipicolinate reductase [b0031]	52.697
A_07_P010846	carA	b0032	5.57	4.70	4.58	5.79	14.47	11.34	4.00	4.85	4.59	2.67	2.94	2.60	0.65	0.78	chr:29793-29852	"carbamoyl phosphate synthetase small subunit, glutamine amidotransferase"	"carbamoyl-phosphate synthetase, glutamine [b0032]"	96.145
A_07_P010855	carB	b0033	2.36	3.68	5.02	7.20	4.29	7.69	4.34	5.91	2.24	5.28	0.91	1.84	2.56	4.25	chr:33289-33348	carbamoyl-phosphate synthase large subunit	carbamoyl-phosphate synthase large subunit [b0033]	96.581
A_07_P010863	caiE	b0035	1.24	1.04	0.79	0.71	1.23	1.22	1.16	0.98	1.90	1.45	1.16	0.95	2.42	2.16	chr:34912-34853	predicted acyl transferase	possible synthesis of cofactor for carnitine racemase and dehydratase [b0035]	27.684
A_07_P010867	caiD	b0036	1.60	1.18	1.59	0.81	2.25	1.22	2.22	0.77	1.85	0.78	1.19	0.77	1.67	0.90	chr:36064-36005	crotonobetainyl CoA hydratase	carnitine racemase [b0036]	16.303
A_07_P010873	caiC	b0037	1.24	1.04	1.45	1.36	2.21	2.43	1.78	2.13	2.23	2.65	2.80	2.34	3.34	2.73	chr:36403-36344	predicted crotonobetaine CoA ligase:carnitine CoA ligase	probable crotonobetaine/carnitine-CoA ligase [b0037]	66.174
A_07_P010876	caiB	b0038	1.81	1.14	1.54	1.49	1.78		2.23	1.36	2.74		2.33	1.35			chr:37975-37916	crotonobetainyl CoA:carnitine CoA transferase	l-carnitine dehydratase [b0038]	NaN
A_07_P010884	caiA	b0039	1.21	2.03	1.48	3.05	2.26	3.04	2.66	3.75	1.88	4.18	1.08	1.77	2.79	5.77	chr:39527-39468	"crotonobetaine reductase subunit II, FAD-binding"	probable carnitine operon oxidoreductase [b0039]	75.441
A_07_P010887	caiT	b0040															chr:40484-40425	predicted transporter	probable carnitine transporter [b0040]	NaN
A_07_P010892	fixA	b0041	1.98	1.54	1.23	1.66	2.46	2.33	2.49	1.87	3.22		1.60	1.43	3.09	2.43	chr:42469-42528	"predicted electron transfer flavoprotein subunit, ETFP adenine nucleotide-binding domain"	"probable flavoprotein subunit, carnitine metabolism [b0041]"	NaN
A_07_P010900	fixB	b0042	0.94	1.32	0.64	1.40	0.72	1.07	0.73	1.31	0.86		0.66	0.89	0.85	1.36	chr:44016-44075	"predicted electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like protein"	"probable flavoprotein subunit, carnitine metabolism [b0042]"	NaN
A_07_P010905	fixC	b0043	1.18	1.32	1.29	0.84	1.27	1.01	1.13	0.96	0.25		1.29	0.45		0.38	chr:45407-45466	predicted oxidoreductase with FAD/NAD(P)-binding domain	flavoprotein; electron transport [b0043]	NaN
A_07_P010908	fixX	b0044		1.56					0.01					1.33			chr:45503-45562	predicted 4Fe-4S ferredoxin-type protein	putative ferredoxin [b0044]	NaN
A_07_P010912	yaaU	b0045	1.02	0.97		0.62	0.85	1.11	1.00		1.02		0.76	0.80		1.05	chr:46984-47043	predicted transporter	putative transport protein [b0045]	NaN
A_07_P010917	kefF	b0046	0.51	0.37	0.38	0.34	0.42	0.30	0.42	0.40	0.49	0.44	0.50	0.36	0.76	0.66	chr:47337-47396	flavoprotein subunit for the KefC potassium efflux system	putative NAD [b0046]	-62.022
A_07_P010924	kefC	b0047	0.52	0.73	0.53	0.76	0.48	0.70	0.54	0.70	0.65	0.79	0.56	0.74	0.51	0.85	chr:49083-49142	potassium:proton antiporter	"K+ efflux antiporter, glutathione-regulated [b0047]"	-32.608
A_07_P010929	folA	b0048	0.71	1.31	0.55	1.10	0.84	1.69	0.74	1.31	0.76	1.10	0.64	1.10	1.02	2.00	chr:50120-50179	dihydrofolate reductase	dihydrofolate reductase type I; trimethoprim resistance [b0048]	-0.618
A_07_P010931	apaH	b0049	1.14	1.26	1.12	1.28	1.30	1.21	0.93	1.26	0.94	0.79	0.86	0.94	0.45	0.51	chr:50796-50737	diadenosine tetraphosphatase	diadenosine tetraphosphatase [b0049]	-9.845
A_07_P010939	apaG	b0050	1.12	1.35	0.85	1.16	1.77	1.61	1.15	1.24	1.63	1.28	1.13	1.24	0.87	1.08	chr:51547-51488	protein associated with Co2+ and Mg2+ efflux	"orf, hypothetical protein [b0050]"	20.567
A_07_P010944	ksgA	b0051	1.23	1.22	1.42	1.11	1.72	1.37	1.43	1.07	1.21	0.95	1.09	1.09	0.81	0.68	chr:52052-51993	"S-adenosylmethionine-6-N',N'-adenosyl (rRNA) dimethyltransferase"	"S-adenosylmethionine-6-N,N-adenosyl [b0051]"	7.260
A_07_P010947	pdxA	b0052	1.22	1.10	1.12	1.02	1.42	1.58	1.24	1.22	1.42	1.11	0.95	0.85	1.01	0.92	chr:52486-52427	"4-hydroxy-L-threonine phosphate dehydrogenase, NAD-dependent"	pyridoxine biosynthesis [b0052]	12.030
A_07_P010951	surA	b0053	0.74	0.79	1.03	1.13	0.78	0.75	0.76	0.86	0.69	0.80	1.37	1.32	0.38	0.36	chr:53596-53537	peptidyl-prolyl cis-trans isomerase (PPIase)	survival protein [b0053]	-22.178
A_07_P010957	imp	b0054	1.47	1.09	1.16	0.78	1.36	0.98	0.78	0.60	1.45	0.52	1.97	1.35	0.54	0.33	chr:54898-54839	exported protein required for envelope biosynthesis and integrity	organic solvent tolerance [b0054]	-10.235
A_07_P010964	djlA	b0055	1.61	1.63	1.43	1.35	1.89	1.83	1.91	1.87	2.00	1.88	1.11	1.18	2.48	2.48	chr:57721-57780	"DnaJ-like protein, membrane anchored"	putative DNA binding protein [b0055]	46.961
A_07_P010968	yabP	b0056	0.76	0.97	1.16	1.18	0.50	0.85	1.09	1.07	0.92	0.98	1.14	1.33	0.81	0.85	chr:58992-59051	pseudo	"orf, hypothetical protein [b0056]"	-4.541
A_07_P010974	yabP	b4659	1.27	0.60	1.32	0.71	1.19	0.77	1.04	0.70	1.30	0.71	2.25	0.97	1.48	0.69	chr:59216-59275	pseudogene	pseudogene [b4659]	0.535
A_07_P010976	rluA	b0058	1.03	1.37	0.79	0.93	0.83	0.98	0.66	0.90	1.01	1.31	1.13	1.38	1.89	2.25	chr:59763-59704	pseudouridine synthase for 23S rRNA (position 746) and tRNAphe(position 32)	"orf, hypothetical protein [b0058]"	11.610
A_07_P010981	hepA	b0059	1.30	1.34	0.86	1.10	1.50	1.50	1.02	1.24	1.36	1.62	1.51	1.62	0.91	1.08	chr:60864-60805	RNA polymerase-associated helicase protein (ATPase and RNA polymerase recycling factor)	probable ATP-dependent RNA helicase [b0059]	23.105
A_07_P010989	polB	b0060	0.60	0.48	0.70	0.52	0.66	1.01	0.67	0.87	0.96	0.82	1.25	1.15	0.74	0.60	chr:63500-63441	DNA polymerase II	DNA polymerase II [b0060]	-14.682
A_07_P010994	araD	b0061	0.91	0.53	0.90	0.47	1.29	1.09	1.17	0.79	0.83	0.67	0.99	0.46	0.43	0.29	chr:66131-66072	L-ribulose-5-phosphate 4-epimerase	L-ribulose-5-phosphate 4-epimerase [b0061]	-26.651
A_07_P010999	araA	b0062	0.35	0.32	0.22	0.16	0.16	0.42	0.10	0.38	0.15	0.30	0.13	0.14	0.13	0.15	chr:66963-66904	L-arabinose isomerase	L-arabinose isomerase [b0062]	-130.095
A_07_P011001	araB	b0063	0.12	0.29	0.33	0.16		0.39	0.01		0.11		0.41	0.18	0.01	0.68	chr:69182-69123	L-ribulokinase	L-ribulokinase [b0063]	NaN
A_07_P011010	araC	b0064	0.23	0.23	0.24	0.23	0.30	0.30	0.28	0.36	0.33	0.38	0.23	0.27	0.56	0.51	chr:71137-71196	DNA-binding transcriptional dual regulator	transcriptional regulator for ara operon [b0064]	-87.404
A_07_P011012	yabI	b0065	0.70	1.10	0.47	0.84	0.54	0.71	0.71	0.95	0.71	1.10	0.48	0.88	1.43	2.42	chr:71631-71690	conserved inner membrane protein	"orf, hypothetical protein [b0065]"	-10.176
A_07_P011020	thiQ	b0066	1.62	2.02	1.56	2.63	2.28	2.32	2.32	2.61	2.69	2.62	1.34	1.77	2.36	3.73	chr:72923-72864	thiamin transporter subunit	putative ATP-binding component of a transport system [b0066]	68.430
A_07_P011021	thiP	b0067	1.57	1.30	1.67	1.89	2.47	2.29	2.67	3.76	2.23	3.51	1.71	1.44	2.72	2.74	chr:72970-72911	fused thiamin transporter subunits of ABC superfamily: membrane components	putative transport system permease protein [b0067]	70.732
A_07_P011029	tbpA	b0068	1.22	1.29	1.98	2.00	2.67	2.96	2.61	2.33	1.57	1.84	1.70	2.09	1.08	1.07	chr:74845-74786	thiamin transporter subunit	thiamin-binding periplasmic protein [b0068]	45.599
A_07_P011033	sgrR	b0069	1.35	1.03	1.43	1.34	1.50	1.42	1.49	1.54	1.42	1.21	1.53	1.28	0.96	0.91	chr:75998-75939	DNA-binding transcriptional regulator	putative transport protein [b0069]	20.639
A_07_P011037	setA	b0070	1.21	1.38	0.94	0.98	1.47	1.41	1.25	1.28	1.81	1.21	1.15	1.31	1.17	1.27	chr:78728-78787	broad specificity sugar efflux system	putative transport protein [b0070]	23.248
A_07_P011045	leuD	b0071	0.57	0.63	0.45	0.46	0.30	0.31	0.23	0.25	0.26	0.35	0.63	0.77	0.31	0.36	chr:79161-79102	3-isopropylmalate isomerase subunit	isopropylmalate isomerase subunit [b0071]	-82.817
A_07_P011046	leuC	b0072	0.82	0.88	0.55	0.58	0.42	0.48	0.41	0.38	0.55	0.56	0.83	0.97	0.37	0.37	chr:79859-79800	"3-isopropylmalate isomerase subunit, dehydratase component"	3-isopropylmalate isomerase [b0072]	-49.076
A_07_P011055	leuB	b0073	0.66	0.58	0.53	0.56	0.39	0.38	0.39	0.46	0.52	0.58	0.75	0.64	0.35	0.35	chr:81490-81431	3-isopropylmalate dehydrogenase	3-isopropylmalate dehydrogenase [b0073]	-55.242
A_07_P011058	leuA	b0074	0.64	0.66	0.55	0.61	0.36	0.33	0.51	0.54	0.47	0.69	0.58	0.59	0.68	0.76	chr:82241-82182	2-isopropylmalate synthase	2-isopropylmalate synthase [b0074]	-46.645
A_07_P011063	leuO	b0076	1.15	1.26	0.87	1.13	0.66	0.59	0.56	0.69	0.81	0.79	0.69	0.83	1.36	1.20	chr:85168-85227	DNA-binding transcriptional activator	probable transcriptional activator for leuABCD operon [b0076]	-15.611
A_07_P011066	ilvI	b0077	0.73	0.90	0.68	1.07	0.81	0.71	0.66	0.98	0.65	1.09	0.72	0.85	0.80	1.11	chr:86535-86594	"acetolactate synthase III, large subunit"	"acetolactate synthase III, valine sensitive, large subunit [b0077]"	-14.812
A_07_P011073	ilvH	b0078	0.57	0.73	0.66	0.84	0.47	0.69	0.56	0.71	0.76	1.08	0.73	1.10	1.58	1.90	chr:87671-87730	"acetolactate synthase III, thiamin-dependent, small subunit"	"acetolactate synthase III, valine sensitive, small subunit [b0078]"	-10.386
A_07_P011076	fruR	b0080	0.47	0.45	0.36	0.37	0.35	0.30	0.28	0.27	0.39	0.30	0.77	0.65	0.32	0.36	chr:88374-88433	DNA-binding transcriptional dual regulator	transcriptional repressor of fru operon and others [b0080]	-78.778
A_07_P011082	mraZ	b0081	0.86	0.91	0.70	0.69	0.88	0.80	0.80	0.87	0.81	1.02	0.69	0.76	1.36	1.42	chr:89973-90032	conserved protein	"orf, hypothetical protein [b0081]"	-7.954
A_07_P011086	mraW	b0082	0.53	1.25	0.43	1.13	0.67	1.07	0.59	1.19	0.59	1.44	0.47	1.29	0.84	2.24	chr:90804-90863	S-adenosyl-dependent methyltransferase activity on membrane-located substrates	putative apolipoprotein [b0082]	-7.036
A_07_P011094	ftsL	b0083	0.67	0.76	0.79	0.84	0.64	0.80	0.87	0.96	0.82	1.25	0.93	1.15	1.86	2.18	chr:91337-91396	membrane bound cell division protein at septum containing leucine zipper motif	cell division protein; ingrowth of wall at septum [b0083]	2.519
A_07_P011100	ftsI	b0084	0.86	1.23	0.64	1.04	0.83	0.83	0.77	1.07	0.93	1.10	1.03	1.31	1.13	1.73	chr:92387-92446	transpeptidase involved in septal peptidoglycan synthesis (penicillin-binding protein 3)	septum formation; penicillin-binding protein 3; peptidoglycan synthetase [b0084]	2.462
A_07_P011101	murE	b0085	1.11	1.33	0.80	0.94	0.93	1.03	0.85	1.12	1.13	1.33	0.93	1.17	1.81	2.25	chr:93799-93858	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso-diaminopimelate ligase	meso-diaminopimelate-adding enzyme [b0085]	14.508
A_07_P011107	murF	b0086	0.99	1.00	1.01	0.99	0.88	0.91	1.13	1.22	1.06	1.44	1.10	1.19	2.04	1.96	chr:95920-95979	UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D-alanine ligase	D-alanine:D-alanine-adding enzyme [b0086]	16.216
A_07_P011111	mraY	b0087	1.21	1.47	1.36	1.30	1.16	1.05	1.51	1.19	1.13	1.17	1.39	1.83	1.03	1.13	chr:96317-96376	phospho-N-acetylmuramoyl-pentapeptide transferase	phospho-N-acetylmuramoyl-pentapeptide transferase? [b0087]	16.037
A_07_P011116	murD	b0088	1.15	1.24	0.82	0.96	1.13	1.01	0.79	0.82	0.92	1.03	1.02	1.05	1.56	1.79	chr:97837-97896	UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase	UDP-N-acetylmuramoylalanine-D-glutamate ligase [b0088]	3.807
A_07_P011122	ftsW	b0089	1.09	1.42	0.92	1.27	1.11	1.27	0.96	1.39	1.00	1.45	0.85	1.16	1.57	2.14	chr:99548-99607	integral membrane protein involved in stabilizing FstZ ring during cell division	cell division; membrane protein involved in shape determination [b0089]	16.453
A_07_P011126	murG	b0090	0.87	1.73	0.85	1.94	0.97	1.63	1.13	2.03	1.10	2.19	0.85	1.85	1.41	2.85	chr:99992-100051	N-acetylglucosaminyl transferase	UDP-N-acetylglucosamine:N-acetylmuramyl- [b0090]	31.625
A_07_P011133	murC	b0091	0.83	1.47	0.86	1.43	0.87	1.31	0.90	1.18	1.13	1.44	0.89	1.67	1.16	1.90	chr:102161-102220	UDP-N-acetylmuramate:L-alanine ligase	"L-alanine adding enzyme, UDP-N-acetyl-muramate:alanine ligase [b0091]"	15.917
A_07_P011139	mdtP	b4080	1.54	1.98			0.84	6.49	0.11	3.59	0.72	2.59	0.70	1.14			chr:4298456-4298397	predicted outer membrane factor of efflux pump	putative enzyme [b4080]	NaN
A_07_P011144	mdtO	b4081				1.61		0.01				1.97	0.76				chr:4300056-4299997	predicted multidrug efflux system component	putative enzyme [b4081]	NaN
A_07_P011148	mdtN	b4082															chr:4301415-4301356	predicted membrane fusion protein of efflux pump	putative membrane protein [b4082]	NaN
A_07_P011153	yjcS	b4083	1.54	1.07	1.41					0.01			1.62	0.76	0.01		chr:4302709-4302650	predicted alkyl sulfatase	"orf, hypothetical protein [b4083]"	NaN
A_07_P011158	alsK	b4084	1.14	1.24	0.81	1.08	1.43	1.54	1.21	1.40	1.50	1.33	0.90	0.95	1.15	1.36	chr:4305541-4305482	D-allose kinase	putative NAGC-like transcriptional regulator [b4084]	19.044
A_07_P011164	alsE	b4085	0.79	0.95	0.72	0.95	0.84	1.05	0.80	1.07	0.75	1.13	0.80	0.99	1.28	1.49	chr:4305907-4305848	allulose-6-phosphate 3-epimerase	putative epimerase [b4085]	-2.894
A_07_P011170	alsC	b4086	1.62	2.05	1.12		0.48	1.34			2.36		0.31	0.60			chr:4306604-4306545	D-allose transporter subunit	putative transport system permease protein [b4086]	NaN
A_07_P011171	alsA	b4087	0.69	0.61	1.04	0.45	0.43	0.43	0.62		0.73		0.60	0.50	1.33	1.43	chr:4308448-4308389	fused D-allose transporter subunits of ABC superfamily: ATP-binding components	putative ATP-binding component of a transport system [b4087]	NaN
